[mio cells/mL],[mio cells/mL],[1/mL],[1/mL],[1/day],[1/day],,
Chlorella,Chlorella-error,Brachionus,Brachionus-error,delta,meandelta,day#,chemostat
0.74325,0.05713,19.68636364,0.086363636,0.064170083,0.070246785,180,5y3low
0.79156,0.03656,19.6,1.4,0.075698576,0.070246785,181,5y3low
0.688185,0.050435,23.22916667,1.770833333,0.063433329,0.070246785,182,5y3low
1.0199,0.1109,26.7,1.9,0.068577457,0.070246785,183,5y3low
0.75075,0.0015,25.72916667,0.520833333,0.075485661,0.070246785,184,5y3low
0.871065,0.049685,18.8,1,0.068901719,0.070246785,185,5y3low
0.721125,0.062625,22.6,2,0.072513503,0.070246785,186,5y3low
0.70575,0.01587,22.8,3.6,0.0679145,0.070246785,187,5y3low
0.678835,0.101165,24.3,1.1,0.075410719,0.070246785,188,5y3low
1.00424,0.07536,26.2,1.2,0.073232475,0.070246785,189,5y3low
0.84006,0.05956,18.3,1.1,0.067783845,0.070246785,190,5y3low
0.87475,0.01675,22.7,1.5,0.073649755,0.070246785,191,5y3low
0.88238,0.0315,16.3,1.7,0.066382979,0.070246785,192,5y3low
1.01899,0.06511,25.12083333,0.920833333,0.068128362,0.070246785,193,5y3low
0.849685,0.002065,12.3,2.1,0.076723617,0.070246785,194,5y3low
0.728375,0.010125,23.9,1.5,0.072217555,0.070246785,195,5y3low
1.1501,0.051,21.8,1.6,0.069863449,0.070246785,196,5y3low
0.96519,0.11031,16.5,0.7,0.071808511,0.070246785,197,5y3low
0.90769,0.00581,23.475,0.275,0.071006821,0.070246785,198,5y3low
1.02855,0.00165,20.8,4.4,0.068194217,0.070246785,199,5y3low
0.88381,0.02131,24,1.2,0.08691318,0.070246785,200,5y3low
0.81169,0.05119,18.3,1.1,0.056863953,0.070246785,201,5y3low
0.79694,0.01206,23.5,1.1,0.075093867,0.070246785,202,5y3low
1.2942,0.1047,24.375,1.375,0.065049465,0.070246785,203,5y3low
1.00786,0.02074,21.625,2.875,0.071791253,0.070246785,204,5y3low
0.98945,0.05045,23.625,3.875,0.071885974,0.070246785,205,5y3low
1.19239,0.30551,13.06944444,0.819444444,0.066604995,0.070246785,206,5y3low
0.84106,0.02456,23,3.75,0.07525196,0.070246785,207,5y3low
0.937775,0.079025,18.07860825,1.171391753,0.072976129,0.070246785,208,5y3low
0.92162,0.0735,20.875,1.125,0.064583259,0.070246785,209,5y3low
1.25666,0.30454,19.375,3.375,0.072373932,0.070246785,210,5y3low
0.94839,0.06201,19.875,1.125,0.068495417,0.070246785,211,5y3low
0.879185,0.013565,20.875,1.375,0.073320751,0.070246785,212,5y3low
0.9975,0.0325,18.625,0.625,0.064708545,0.070246785,213,5y3low
0.885815,0.041565,20,0.25,0.078097622,0.070246785,214,5y3low
0.82825,0.01263,20.125,2.375,0.064015339,0.070246785,215,5y3low
0.844565,0.017185,25.5,1.5,0.069971752,0.070246785,216,5y3low
0.939565,0.003685,17.875,1.125,0.072976129,0.070246785,217,5y3low
1.23645,0.03995,21,3.5,0.068495417,0.070246785,218,5y3low
1.1653,0.0318,20.5,2,0.074316699,0.070246785,219,5y3low
1.38755,0.01005,18.25,1.75,0.069723045,0.070246785,220,5y3low
0.92394,0.00844,19.875,0.375,0.060390863,0.070246785,221,5y3low
1.052875,0.182125,20.75,0.75,0.074364801,0.070246785,222,5y3low
0.94837,0.03825,14.875,1.125,0.070831524,0.070246785,223,5y3low
1.48755,0.20545,19.375,1.875,0.06852502,0.070246785,224,5y3low
1.14295,0.06215,17.625,0.875,0.073548726,0.070246785,225,5y3low
1.05705,0.02415,21.5,0.5,0.070556139,0.070246785,226,5y3low
0.87625,0.06925,14.375,1.375,0.07201749,0.070246785,227,5y3low
0.98299,0.02011,20.625,0.625,0.062560445,0.070246785,228,5y3low
1.1175,0.0266,17.75,0,0.078049072,0.070246785,229,5y3low
0.942875,0.022375,17.25,3.75,0.066443221,0.070246785,230,5y3low
0.95306,0.03256,16.38157895,1.118421053,0.068061837,0.070246785,231,5y3low
1.1281,0.0557,18,0.25,0.072922606,0.070246785,232,5y3low
0.958815,0.001935,16.5,2,0.067473348,0.070246785,233,5y3low
1.1274,0.1028,12.73684211,1.736842105,0.06871944,0.070246785,234,5y3low
1.09415,0.01895,16.5,2.75,0.070921986,0.070246785,235,5y3low
1.10785,0.07795,18.5,4.25,0.068258461,0.070246785,236,5y3low
1.1477,0.0172,22,0,0.072478941,0.070246785,237,5y3low
0.993675,0.053925,11.25,1,0.068437942,0.070246785,238,5y3low
0.963325,0.047075,17.125,0.375,0.068909666,0.070246785,239,5y3low
1.02519,0.04931,13.75,2.75,0.066928321,0.070246785,240,5y3low
1.2803,0.0822,18.125,2.125,0.073454914,0.070246785,241,5y3low
1.35305,0.03955,13.125,0.875,0.067086905,0.070246785,242,5y3low
1.28865,0.04785,10.1875,0.8125,0.112382165,0.121965898,20,5o3low
1.3183,0.0562,10.1875,1.1875,0.122428796,0.121965898,21,5o3low
1.1957,0.0318,11.0625,0.3125,0.123108734,0.121965898,22,5o3low
1.2212,0.0002,6.3125,0.8125,0.123373347,0.121965898,23,5o3low
1.1482,0.0302,7.1875,0.9375,0.123375296,0.121965898,24,5o3low
1.4066,0.0462,10.4375,0.9375,0.120947905,0.121965898,25,5o3low
1.16855,0.00445,10.25,1.5,0.123200171,0.121965898,26,5o3low
1.275,0.009,9.375,0.125,0.119036372,0.121965898,27,5o3low
1.35675,0.02085,8.1875,0.8125,0.121427568,0.121965898,28,5o3low
1.32255,0.06935,6.5625,0.8125,0.120071471,0.121965898,29,5o3low
1.36325,0.00465,8.125,0.25,0.123647111,0.121965898,30,5o3low
1.68405,0.27555,7,2.125,0.119090981,0.121965898,31,5o3low
1.4532,0.0167,11.875,0,0.124813929,0.121965898,32,5o3low
1.50615,0.01675,10.375,0.625,0.120744812,0.121965898,33,5o3low
1.37865,0.03455,11.83653846,0.086538462,0.12244771,0.121965898,34,5o3low
1.32745,0.03845,9.013157895,0.460526316,0.121113428,0.121965898,35,5o3low
1.34165,0.01445,8.4375,1.0625,0.119141415,0.121965898,36,5o3low
1.42455,0.02705,9.1875,1.4375,0.125848543,0.121965898,37,5o3low
1.6917,0.0157,4.594936709,0.594936709,0.118816883,0.121965898,38,5o3low
1.70255,0.00455,6.911184211,0.463815789,0.112996884,0.121965898,39,5o3low
1.4653,0.0242,6.9375,0.5625,0.128648005,0.121965898,40,5o3low
1.44025,0.00025,6.375,0.875,0.123592587,0.121965898,41,5o3low
1.42295,0.02095,5.9375,0.3125,0.117116111,0.121965898,42,5o3low
1.3132,0.0123,12.30357143,1.553571429,0.127171459,0.121965898,43,5o3low
1.3639,0.0185,10.5,2.25,0.108042972,0.121965898,44,5o3low
1.59675,0.06415,6.0625,0.1875,0.12425844,0.121965898,45,5o3low
1.63105,0.01355,8.75,0.875,0.114309008,0.121965898,46,5o3low
1.91505,0.27345,7.5625,0.8125,0.126492723,0.121965898,47,5o3low
1.88745,0.01405,9.8125,0.1875,0.12825403,0.121965898,48,5o3low
1.56545,0.04705,6.3125,0.6875,0.131775779,0.121965898,49,5o3low
1.3925,0.0457,11.375,1.375,0.110865952,0.121965898,50,5o3low
1.2347,0.0307,7.75,0.5,0.129758333,0.121965898,51,5o3low
1.8021,0.1679,11.46993671,3.719936709,0.125371641,0.121965898,52,5o3low
1.3835,0.016,13.5443038,0.632911392,0.131689752,0.121965898,53,5o3low
1.2899,0.0419,14.375,1.75,0.112382165,0.121965898,54,5o3low
1.2493,0.0221,10.625,2.5,0.125821578,0.121965898,55,5o3low
1.17915,0.00565,10.5625,2.0625,0.133924938,0.121965898,56,5o3low
1.36085,0.01095,14.125,0.75,0.084151183,0.121965898,57,5o3low
1.2849,0.0009,10.625,1.25,0.127581272,0.121965898,58,5o3low
1.3785,0.0409,13.3125,0.3125,0.122521909,0.121965898,59,5o3low
1.4663,0.0081,13.5625,0.3125,0.120671079,0.121965898,60,5o3low
1.39095,0.02045,7.6875,0.1875,0.114605441,0.121965898,61,5o3low
1.51185,0.08675,7.704479065,0.396786758,0.120742943,0.121965898,62,5o3low
1.31555,0.01665,13.9375,0.4375,0.134902351,0.121965898,63,5o3low
1.3747,0.0272,14.07142857,1.357142857,0.111230463,0.121965898,64,5o3low
1.2744,0.0154,7.214285714,0.642857143,0.13014117,0.121965898,65,5o3low
1.28395,0.11715,12.14285714,0.714285714,0.118848953,0.121965898,66,5o3low
1.3098,0.0162,6.5,0.785714286,0.127346852,0.121965898,67,5o3low
1.4452,0.1082,11.78571429,1.785714286,0.120047746,0.121965898,68,5o3low
1.489,0.0028,10.44047619,7.273809524,0.11683728,0.121965898,69,5o3low
1.21805,0.03195,9.4375,1.4375,0.127339379,0.121965898,70,5o3low
1.51895,0.00905,9.5625,0.9375,0.126063211,0.121965898,71,5o3low
1.29595,0.09305,3.892857143,0.392857143,0.119811012,0.121965898,72,5o3low
1.1773,0.0241,13.125,1.375,0.128983264,0.121965898,73,5o3low
1.1832,0.0127,10.3125,1.9375,0.132171865,0.121965898,74,5o3low
1.226,0.1101,13.9375,1.4375,0.109902153,0.121965898,75,5o3low
1.2295,0.0503,16.21428571,3.071428571,0.129576979,0.121965898,76,5o3low
1.2372,0.0338,9.583333333,3.416666667,0.118301141,0.121965898,77,5o3low
1.179,0.0028,11.58333333,1.916666667,0.123459142,0.121965898,78,5o3low
1.17725,0.01985,16.08333333,1.083333333,0.124719399,0.121965898,79,5o3low
1.2017,0.0387,4.69047619,0.976190476,0.126271214,0.121965898,80,5o3low
1.24565,0.00955,15.53571429,1.035714286,0.120327487,0.121965898,81,5o3low
1.30525,0.00265,14.91666667,0.583333333,0.123202114,0.121965898,82,5o3low
1.15235,0.02475,11.41666667,1.25,0.122739726,0.121965898,83,5o3low
1.2412,0.0528,11.5,0.333333333,0.121113428,0.121965898,84,5o3low
1.06985,0.01965,12.66666667,1.666666667,0.127967327,0.121965898,85,5o3low
1.10065,0.01155,18.92857143,0.785714286,0.116220225,0.121965898,86,5o3low
1.1104,0.0045,15.91666667,1.916666667,0.125168203,0.121965898,87,5o3low
1.1127,0.0298,12.25,1.416666667,0.123684095,0.121965898,88,5o3low
1.08585,0.00005,14.16666667,0.666666667,0.122750637,0.121965898,89,5o3low
1.08065,0.01185,8.833333333,1.333333333,0.124014318,0.121965898,90,5o3low
1.0258,0.0052,9.583333333,0.416666667,0.11724707,0.121965898,91,5o3low
