time,predator_abundance,prey1_abundance,prey2_abundance,dilution,replicate,,,,,,,,,,,,,,,,,,,,,,,,
23,0,0,0,0.9d-1,1,,,,,,,,,,,,,,,,,,,,,,,,
24,0,0,0,0.9d-1,1,,,,,,,,,,,,,,,,,,,,,,,,
25,0,0,0,0.9d-1,1,,,,,,,,,,,,,,,,,,,,,,,,
26,0,0,0,0.9d-1,1,,,,,,,,,,,,,,,,,,,,,,,,
27,0,0,0,0.9d-1,1,,,,,,,,,,,,,,,,,,,,,,,,
28,0,0,0,0.9d-1,1,,,,,,,,,,,,,,,,,,,,,,,,
29,0,0,0,0.9d-1,1,,,,,,,,,,,,,,,,,,,,,,,,
30,0,0,0,0.9d-1,1,,,,,,,,,,,,,,,,,,,,,,,,
31,0,0,0,0.9d-1,1,,,,,,,,,,,,,,,,,,,,,,,,
32,0,0,0,0.9d-1,1,,,,,,,,,,,,,,,,,,,,,,,,
33,0,0,0,0.9d-1,1,,,,,,,,,,,,,,,,,,,,,,,,
34,0,0,0,0.9d-1,1,,,,,,,,,,,,,,,,,,,,,,,,
35,0,0,0,0.9d-1,1,,,,,,,,,,,,,,,,,,,,,,,,
36,0,0,0,0.9d-1,1,,,,,,,,,,,,,,,,,,,,,,,,
37,0,0,0,0.9d-1,1,,,,,,,,,,,,,,,,,,,,,,,,
38,0,0,0,0.9d-1,1,,,,,,,,,,,,,,,,,,,,,,,,
39,0,0,0,0.9d-1,1,,,,,,,,,,,,,,,,,,,,,,,,
40,0,0,0,0.9d-1,1,,,,,,,,,,,,,,,,,,,,,,,,
41,0,0,0,0.9d-1,1,,,,,,,,,,,,,,,,,,,,,,,,
42,0,0,0,0.9d-1,1,,,,,,,,,,,,,,,,,,,,,,,,
43,0,0,0,0.9d-1,1,,,,,,,,,,,,,,,,,,,,,,,,
44,0,0,0,0.9d-1,1,,,,,,,,,,,,,,,,,,,,,,,,
45,0,0,0,0.9d-1,1,,,,,,,,,,,,,,,,,,,,,,,,
46,0,0,0,0.9d-1,1,,,,,,,,,,,,,,,,,,,,,,,,
47,0,0,0,0.9d-1,1,,,,,,,,,,,,,,,,,,,,,,,,
48,0,0,0,0.9d-1,1,,,,,,,,,,,,,,,,,,,,,,,,
49,0,0,0,0.9d-1,1,,,,,,,,,,,,,,,,,,,,,,,,
50,0,0,0,0.9d-1,1,,,,,,,,,,,,,,,,,,,,,,,,
51,0,0,0,0.9d-1,1,,,,,,,,,,,,,,,,,,,,,,,,
0,100,100000,100000,0.5 d-1,3,,,,,,,,,,,,,,,,,,,,,,,,
1,1533,2627133,1852600,0.5 d-1,3,,,,,,,,,,,,,,,,,,,,,,,,
2,5267,4301800,3077200,0.5 d-1,3,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,0.5 d-1,3,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,0.5 d-1,3,,,,,,,,,,,,,,,,,,,,,,,,
5,4533,3537733,2637600,0.5 d-1,3,,,,,,,,,,,,,,,,,,,,,,,,
6,5533,607067,4113400,0.5 d-1,3,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,0.5 d-1,3,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,0.5 d-1,3,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,0.5 d-1,3,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,0.5 d-1,3,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,0.5 d-1,3,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,0.5 d-1,3,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,0.5 d-1,3,,,,,,,,,,,,,,,,,,,,,,,,
14,7133,3223733,3066733,0.5 d-1,3,,,,,,,,,,,,,,,,,,,,,,,,
15,10533,293067,1088533,0.5 d-1,3,,,,,,,,,,,,,,,,,,,,,,,,
16,7333,1475800,4950733,0.5 d-1,3,,,,,,,,,,,,,,,,,,,,,,,,
17,8800,1873533,2899267,0.5 d-1,3,,,,,,,,,,,,,,,,,,,,,,,,
18,7200,1350200,868733,0.5 d-1,3,,,,,,,,,,,,,,,,,,,,,,,,
19,7000,2145667,2616667,0.5 d-1,3,,,,,,,,,,,,,,,,,,,,,,,,
20,7200,1831667,2177067,0.5 d-1,3,,,,,,,,,,,,,,,,,,,,,,,,
21,8133,2292200,2878333,0.5 d-1,3,,,,,,,,,,,,,,,,,,,,,,,,
22,9067,1423467,2082867,0.5 d-1,3,,,,,,,,,,,,,,,,,,,,,,,,
23,8333,722200,2323600,0.5 d-1,3,,,,,,,,,,,,,,,,,,,,,,,,
24,8333,628000,2627133,0.5 d-1,3,,,,,,,,,,,,,,,,,,,,,,,,
25,8400,544267,3213267,0.5 d-1,3,,,,,,,,,,,,,,,,,,,,,,,,
26,8467,1580467,3747067,0.5 d-1,3,,,,,,,,,,,,,,,,,,,,,,,,
27,14533,1465333,2595733,0.5 d-1,3,,,,,,,,,,,,,,,,,,,,,,,,
28,7533,1350200,2124733,0.5 d-1,3,,,,,,,,,,,,,,,,,,,,,,,,
29,14067,1067600,4259933,0.5 d-1,3,,,,,,,,,,,,,,,,,,,,,,,,
30,13867,1737467,2763200,0.5 d-1,3,,,,,,,,,,,,,,,,,,,,,,,,
31,5667,2365467,3338867,0.5 d-1,3,,,,,,,,,,,,,,,,,,,,,,,,
32,9533,3464467,7902333,0.5 d-1,3,,,,,,,,,,,,,,,,,,,,,,,,
33,6600,6457933,4657667,0.5 d-1,3,,,,,,,,,,,,,,,,,,,,,,,,
34,16600,1413000,3736600,0.5 d-1,3,,,,,,,,,,,,,,,,,,,,,,,,
35,18867,1779333,4029667,0.5 d-1,3,,,,,,,,,,,,,,,,,,,,,,,,
36,12333,764067,3286533,0.5 d-1,3,,,,,,,,,,,,,,,,,,,,,,,,
37,15933,1842133,3485400,0.5 d-1,3,,,,,,,,,,,,,,,,,,,,,,,,
38,14333,1590933,3234200,0.5 d-1,3,,,,,,,,,,,,,,,,,,,,,,,,
39,10133,1873533,3495867,0.5 d-1,3,,,,,,,,,,,,,,,,,,,,,,,,
40,12333,1235067,1706067,0.5 d-1,3,,,,,,,,,,,,,,,,,,,,,,,,
41,13333,523333,2260800,0.5 d-1,3,,,,,,,,,,,,,,,,,,,,,,,,
42,13200,1727000,4427400,0.5 d-1,3,,,,,,,,,,,,,,,,,,,,,,,,
43,12867,1664200,3611000,0.5 d-1,3,,,,,,,,,,,,,,,,,,,,,,,,
44,13200,1611867,4511133,0.5 d-1,3,,,,,,,,,,,,,,,,,,,,,,,,
45,14333,1632800,3213267,0.5 d-1,3,,,,,,,,,,,,,,,,,,,,,,,,
46,16533,2491067,3715667,0.5 d-1,3,,,,,,,,,,,,,,,,,,,,,,,,
47,12933,1402533,2051467,0.5 d-1,3,,,,,,,,,,,,,,,,,,,,,,,,
48,12200,2355000,6049733,0.5 d-1,3,,,,,,,,,,,,,,,,,,,,,,,,
49,9200,1392067,4898400,0.5 d-1,3,,,,,,,,,,,,,,,,,,,,,,,,
50,18667,648933,2386400,0.5 d-1,3,,,,,,,,,,,,,,,,,,,,,,,,
51,10867,659400,2888800,0.5 d-1,3,,,,,,,,,,,,,,,,,,,,,,,,
52,15333,450067,1863067,0.5 d-1,3,,,,,,,,,,,,,,,,,,,,,,,,
53,14133,523333,1842133,0.5 d-1,3,,,,,,,,,,,,,,,,,,,,,,,,
54,9267,994333,1904933,0.5 d-1,3,,,,,,,,,,,,,,,,,,,,,,,,
55,13467,1747933,2051467,0.5 d-1,3,,,,,,,,,,,,,,,,,,,,,,,,
0,100,100000,100000,0.5 d-1,4,,,,,,,,,,,,,,,,,,,,,,,,
1,1200,3077200,1622333,0.5 d-1,4,,,,,,,,,,,,,,,,,,,,,,,,
2,4867,3799400,3506333,0.5 d-1,4,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,0.5 d-1,4,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,0.5 d-1,4,,,,,,,,,,,,,,,,,,,,,,,,
5,8400,3830800,3045800,0.5 d-1,4,,,,,,,,,,,,,,,,,,,,,,,,
6,10867,533800,2993467,0.5 d-1,4,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,0.5 d-1,4,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,0.5 d-1,4,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,0.5 d-1,4,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,0.5 d-1,4,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,0.5 d-1,4,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,0.5 d-1,4,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,0.5 d-1,4,,,,,,,,,,,,,,,,,,,,,,,,
14,7600,638467,3003933,0.5 d-1,4,,,,,,,,,,,,,,,,,,,,,,,,
15,10533,607067,2909733,0.5 d-1,4,,,,,,,,,,,,,,,,,,,,,,,,
16,8800,910600,3872667,0.5 d-1,4,,,,,,,,,,,,,,,,,,,,,,,,
17,5667,1318800,722200,0.5 d-1,4,,,,,,,,,,,,,,,,,,,,,,,,
18,3600,1884000,900133,0.5 d-1,4,,,,,,,,,,,,,,,,,,,,,,,,
19,7667,303533,198867,0.5 d-1,4,,,,,,,,,,,,,,,,,,,,,,,,
20,9000,690800,1224600,0.5 d-1,4,,,,,,,,,,,,,,,,,,,,,,,,
21,7333,481467,2606200,0.5 d-1,4,,,,,,,,,,,,,,,,,,,,,,,,
22,6933,879200,2061933,0.5 d-1,4,,,,,,,,,,,,,,,,,,,,,,,,
23,8933,1308333,2867867,0.5 d-1,4,,,,,,,,,,,,,,,,,,,,,,,,
24,7400,1067600,2888800,0.5 d-1,4,,,,,,,,,,,,,,,,,,,,,,,,
25,8200,1015267,3705200,0.5 d-1,4,,,,,,,,,,,,,,,,,,,,,,,,
26,6800,3757533,2229400,0.5 d-1,4,,,,,,,,,,,,,,,,,,,,,,,,
27,13000,1894467,2061933,0.5 d-1,4,,,,,,,,,,,,,,,,,,,,,,,,
28,9267,764067,2198000,0.5 d-1,4,,,,,,,,,,,,,,,,,,,,,,,,
29,15133,826867,2595733,0.5 d-1,4,,,,,,,,,,,,,,,,,,,,,,,,
30,4200,544267,4511133,0.5 d-1,4,,,,,,,,,,,,,,,,,,,,,,,,
31,4333,837333,1611867,0.5 d-1,4,,,,,,,,,,,,,,,,,,,,,,,,
32,4400,3799400,3977333,0.5 d-1,4,,,,,,,,,,,,,,,,,,,,,,,,
33,10533,711733,2972533,0.5 d-1,4,,,,,,,,,,,,,,,,,,,,,,,,
34,12000,921067,1465333,0.5 d-1,4,,,,,,,,,,,,,,,,,,,,,,,,
35,8800,1046667,3003933,0.5 d-1,4,,,,,,,,,,,,,,,,,,,,,,,,
36,21000,1004800,1360667,0.5 d-1,4,,,,,,,,,,,,,,,,,,,,,,,,
37,11867,1339733,2396867,0.5 d-1,4,,,,,,,,,,,,,,,,,,,,,,,,
38,8400,732667,1873533,0.5 d-1,4,,,,,,,,,,,,,,,,,,,,,,,,
39,9667,533800,1486267,0.5 d-1,4,,,,,,,,,,,,,,,,,,,,,,,,
40,13200,1915400,3265600,0.5 d-1,4,,,,,,,,,,,,,,,,,,,,,,,,
41,11933,889667,2156133,0.5 d-1,4,,,,,,,,,,,,,,,,,,,,,,,,
42,9467,1475800,3642400,0.5 d-1,4,,,,,,,,,,,,,,,,,,,,,,,,
43,11800,1161800,2794600,0.5 d-1,4,,,,,,,,,,,,,,,,,,,,,,,,
44,11800,858267,1004800,0.5 d-1,4,,,,,,,,,,,,,,,,,,,,,,,,
45,15600,1653733,3904067,0.5 d-1,4,,,,,,,,,,,,,,,,,,,,,,,,
46,12733,962933,1957267,0.5 d-1,4,,,,,,,,,,,,,,,,,,,,,,,,
47,12200,439600,2375933,0.5 d-1,4,,,,,,,,,,,,,,,,,,,,,,,,
48,11933,533800,3035333,0.5 d-1,4,,,,,,,,,,,,,,,,,,,,,,,,
49,10133,690800,2920200,0.5 d-1,4,,,,,,,,,,,,,,,,,,,,,,,,
50,11400,617533,2103800,0.5 d-1,4,,,,,,,,,,,,,,,,,,,,,,,,
51,11067,471000,774533,0.5 d-1,4,,,,,,,,,,,,,,,,,,,,,,,,
52,11533,512867,2051467,0.5 d-1,4,,,,,,,,,,,,,,,,,,,,,,,,
53,12733,491933,2941133,0.5 d-1,4,,,,,,,,,,,,,,,,,,,,,,,,
54,11467,648933,2595733,0.5 d-1,4,,,,,,,,,,,,,,,,,,,,,,,,
55,8600,900133,3391200,0.5 d-1,4,,,,,,,,,,,,,,,,,,,,,,,,
